annee;saison;8.25;8,75;9,25;9,75;10,25;10,75;11,25;11,75;12,25;12,75;13,25;13,75;14,25;14,75;15,25;15,75;16,25;16,75;17,25;17,75;18,25;18,75;19,25;19,75;20,25;20,75;21,25;21,75;22,25;22,75;23,25;23,75;24,25;24,75;25,25;25,75;26,25;26,75;primi;multi;femelles
1994;3;0;0;0;0;0;0;0;0;0;449284,9;941458;1347855;3808720;6633094;6890422;5906076;4686886;6259383;7309101;14679415;21465737;26142421;25672732;15647517;13292832;9645463;8487484;9708755;4956497;857762;557545,3;85776,2;85776,2;0;0;0;0;0;0;66985258;
1994;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1995;1;0;0;0;0;0;0;0;0;147472,7;294945,4;712687,2;282607,3;2605156;3182709;3907734;5283756;6328403;13652101;16908254;24305395;26014547;25301274;28237806;29638504;33595590;29233100;22007523;14021075;5898323;3968840;712687,2;1007633;442418,1;0;0;0;0;0;113291426;178723630,5;
1995;2;0;0;0;56068,69;0;0;0;0;0;0;0;327137,4;56068,69;827944,3;870179,4;1403754;2930923;5301351;9449657;11977207;13601425;16110753;17204495;17255292;18596802;19107596;20934463;17780112;10078799;4800194;1818631;829946,2;725274,1;175671,4;0;0;0;0;110274336;20854371,72;
1995;3;0;0;0;0;0;64661,53;8272,158;105264,4;18488,54;0;16544,32;8272,158;64661,53;202256,7;260590,3;271564,6;298325,3;526156,4;595464,2;594969;1231368;1508337;2363371;2295316;2296007;1993065;2626497;3067066;3070955;1865852;899030,2;688238,7;449762,7;270806,7;83150,07;0;8272,158;0;0;21182948;
1995;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1996;1;0;0;0;0;0;0;427430;641145;1068575;1923435;641145;2774327;1921451;2988042;5762369;5119240;5972117;11722583;15779200;23664832;20251344;36002770;37728361;53903249;59234221;47305858;32381518;26838816;17039668;12573475;4048682;3195806;213715;0;0;0;0;0;180599986,7;191568346,1;
1996;2;0;0;0;0;0;0;34424,57;97445,75;0;138775,8;395611;389783;464460,1;949636,5;1462332;1806578;3319095;3368511;3628476;3717066;4666057;5914505;8813056;12310286;15455740;18470842;15035852;13128164;9009013;5642555;3634826;2192359;684921,1;485176,4;75754,59;0;0;0;76352061,84;15550146,92;
1996;3;0;0;0;0;0;0;0;0;0;0;0;0;0;17644,22;48813,14;66457,36;93506,77;126735,5;97626,28;171429,1;130855;159964,1;417554,5;605461,7;701921,8;1006266;1009492;900400,3;787189,5;357276,5;284639,8;132914,7;15584,46;31168,92;0;0;0;0;0;9817121;
1996;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
