annee;saison;nb
1990;2;18369
1991;2;12272
1992;2;9109
1993;2;6883
1994;2;9890
1995;2;10959
1996;2;16454
1997;2;10521
1998;2;9697
1999;2;13748
2000;2;11740
2001;2;12188
2002;2;12410
2003;2;10523
2004;2;7865
2005;2;14194
2006;2;8150
2007;2;10280
