annee;surf_ech;surf_mult;surf_trait;nb_mean;nb_icinf;nb_icsup;pds_mean;pds_icinf;pds_icsup;abd_mean;abd_icinf;abd_icsup;bio_mean;bio_icinf;bio_icsup;nb_ref_mean;nb_ref_inf;nb_ref_sup;pds_ref_mean;pds_ref_inf;pds_ref_sup;nb_mean_0;nb_icinf_0;nb_icsup_0;pds_mean_0;pds_icinf_0;pds_icsup_0
1990;95076;116115;0.02321;352.632;226.4574;478.8065;107.37305;38.1802883;176.5658118;1764135763;1132913869;2395357657;537162385;191007098;883317673;932.647;139.487;1725.807;127.2796;17.2904;237.2688;430.5717;276.5097;584.6337;131.1007553;46.6175137;215.583997
1991;107033;116115;0.02321;323.9172;61.6613;586.1731;53.7027141;30.1264387;77.2789897;1620482178;308477159;2932487658;268662183;150715563;386608804;932.647;139.487;1725.807;127.2796;17.2904;237.2688;351.1816;66.8514;635.5119;58.2124261;32.6563213;83.768531
1992;112068;116115;0.02321;116.4222;79.6316;153.2128;35.7997618;19.1063752;52.4931483;582432944;398378503;766487868;179097878;95584749;262611007;932.647;139.487;1725.807;127.2796;17.2904;237.2688;120.6115;82.4971;158.726;37.0856704;19.7926661;54.3786746
1993;111282;116115;0.02321;59.1281;4.5121;113.744;21.9530043;0;44.5865405;295803925;22573128;569034722;109825772;0;223056088;932.647;139.487;1725.807;127.2796;17.2904;237.2688;61.6935;4.7079;118.6791;22.9051358;0;46.5203192
1994;113323;116115;0.02321;31.9243;20.0619;43.7867;12.9939991;7.3010153;18.6869829;159709750;100364873;219054626;65005954;36525281;93486627;932.647;139.487;1725.807;127.2796;17.2904;237.2688;32.6638;20.5266;44.801;13.3001786;7.4730502;19.127307
1995;113412;116115;0.02321;35.5535;26.5789;44.5283;16.894008;12.7502195;21.0377965;177865948;132967887;222764503;84516791;63786382;105247201;932.647;139.487;1725.807;127.2796;17.2904;237.2688;35.9895;26.9048;45.0743;17.0199492;12.8452697;21.1946288
1996;108741;116115;0.02321;29.6102;18.4582;40.7623;13.549047;8.0634918;19.0346023;148133079;92341926;203924233;67782730;40339773;95225686;932.647;139.487;1725.807;127.2796;17.2904;237.2688;31.6147;19.7077;43.5217;14.4670084;8.6098014;20.3242155
1997;104073;116115;0.02321;27.1148;19.1113;35.1182;12.3669622;8.7407139;15.9932107;135649126;95609629;175688175;61869034;43727758;80010312;932.647;139.487;1725.807;127.2796;17.2904;237.2688;30.2521;21.3226;39.1815;13.7977938;9.7519961;17.8435916
1998;111416;116115;0.02321;17.634;12.5032;22.7647;6.3400533;3.7269106;8.9531959;88218555;62550847;113886263;31717812;18644867;44790756;932.647;139.487;1725.807;127.2796;17.2904;237.2688;18.3777;13.0306;23.7248;6.6074446;3.8840928;9.3307963
1999;108868;116115;0.02321;26.6777;16.2413;37.1143;10.9915143;4.7405045;17.242524;133462558;81251396;185674190;54987988;23715641;86260336;932.647;139.487;1725.807;127.2796;17.2904;237.2688;28.4534;17.3223;39.5846;11.7231454;5.056048;18.3902428
2000;109537;116115;0.02321;31.6768;22.0454;41.3082;11.5552638;8.5952785;14.5152492;158471776;110288144;206655409;57808296;43000178;72616414;932.647;139.487;1725.807;127.2796;17.2904;237.2688;33.5775;23.3682;43.7868;12.2486822;9.1110715;15.3862929
2001;96335;116115;0.02321;22.5387;17.4307;27.6467;10.0413827;7.0486282;13.0341372;112755921;87201673;138310169;50234701;35262647;65206756;932.647;139.487;1725.807;127.2796;17.2904;237.2688;26.5442;20.5284;32.56;12.0206857;8.4380156;15.6033558
2002;103963;116115;0.02321;31.5946;0;123.7047;16.9668069;0;79.3793532;158060527;0;618865869;84880987;0;397116434;932.647;139.487;1725.807;127.2796;17.2904;237.2688;34.8469;0;136.4386;18.9077594;0;88.4601165
2003;104992;116115;0.02321;60.6418;0;224.4822;23.5318225;0;80.7448916;303376984;0;1123032197;117724232;0;403947905;932.647;139.487;1725.807;127.2796;17.2904;237.2688;66.8792;0;247.5715;25.9657681;0;89.0965046
2004;91565;116115;0.02321;11.0565;6.5881;15.525;5.5410138;2.8871725;8.1948552;55313125;32958491;77667758;27720403;14443852;40996954;932.647;139.487;1725.807;127.2796;17.2904;237.2688;9.1729;5.4657;12.8801;3.9839892;2.0758772;5.8921013
2005;113680;116115;0.02321;38.7143;16.075;61.3535;10.2881158;8.0858683;12.4903633;193678458;80419387;306937530;51469050;40451718;62486381;932.647;139.487;1725.807;127.2796;17.2904;237.2688;39.5411;16.4183;62.6639;10.508047;8.2587216;12.7573724
2006;116115;116115;0.02321;21.8523;0;48.0275;7.044962;3.4920231;10.5979011;109322057;0;240270593;35244306;17469779;53018833;932.647;139.487;1725.807;127.2796;17.2904;237.2688;21.8523;0;48.0275;7.044962;3.4920231;10.597901
2007;115350;116115;0.02321;108.4186;0;252.0857;10.9668269;3.3333552;18.6002985;542393056;0;1261126041;54864483;16676001;93052965;932.647;139.487;1725.807;127.2796;17.2904;237.2688;109.1375;0;253.7572;11.0395462;3.3554582;18.7236342
2008;116115;116115;0.02321;46.1243;0;141.7395;19.5025927;0;51.5880128;230749063;0;709089499;97566933;0;258082824;932.647;139.487;1725.807;127.2796;17.2904;237.2688;46.1243;0;141.7395;19.5025927;0;51.5880128
2009;111584;116115;0.02321;4.4264;3.185;5.6678;2.6049609;1.7522994;3.4576225;22144133;15933718;28354548;13032013;8766346;17297681;932.647;139.487;1725.807;127.2796;17.2904;237.2688;4.6061;3.3143;5.8979;2.7107361;1.823452;3.5980202
2010;102166;116115;0.02321;39.623;0;175.4909;15.3296989;0;62.4909254;198224870;0;877939932;76690917;0;312627560;932.647;139.487;1725.807;127.2796;17.2904;237.2688;42.0186;0;186.1008;15.5955554;0;63.5746792
2011;115350;116115;0.02321;15.0301;10.0187;20.0416;7.5782856;4.7828881;10.3736832;75192270;50121056;100263483;37912400;23927676;51897123;932.647;139.487;1725.807;127.2796;17.2904;237.2688;15.1298;10.0851;20.1745;7.628536;4.8146027;10.4424694
2012;116115;116115;0.02321;14.6961;11.6234;17.7688;8.543791;6.2083752;10.8792068;73521022;58149050;88892994;42742598;31059056;54426140;932.647;139.487;1725.807;127.2796;17.2904;237.2688;14.6961;11.6234;17.7688;8.543791;6.2083752;10.8792068
2013;108744;116115;0.02321;859.0055;155.4926;1562.5184;19.4248062;9.4694421;29.3801704;4297404669;777893114;7816916225;97177786;47373416;146982156;932.647;139.487;1725.807;127.2796;17.2904;237.2688;917.0756;166.0041;1668.1471;20.7340537;10.1076901;31.3604173
2014;116115;116115;0.02321;870.7156;520.1705;1221.2607;36.4316818;26.9624682;45.9008955;4355987501;2602291950;6109683052;182259227;134886955;229631500;932.647;139.487;1725.807;127.2796;17.2904;237.2688;870.7156;520.1705;1221.2607;36.4316818;26.9624682;45.9008955
2015;116115;116115;0.02321;1557.3003;938.1048;2176.4959;85.6589699;57.8069697;113.5109699;7790811136;4693120089;10888502683;428531895;289194819;567868971;932.647;139.487;1725.807;127.2796;17.2904;237.2688;1557.3003;938.1048;2176.4959;85.6589699;57.8069697;113.51097
2016;115278;116115;0.02321;4134.7419;2191.2941;6078.1897;306.9081312;208.5765935;405.239669;20685151771;10962534378;30407768667;1535389969;1043460165;2027319773;932.647;139.487;1725.807;127.2796;17.2904;237.2688;4164.5802;2207.1075;6122.0528;309.1276905;210.0850192;408.1703619
2017;114963;116115;0.02321;4211.9811;2471.4341;5952.5282;426.9739783;243.0530806;610.894876;21071561320;12364009771;29779113364;2136051465;1215938008;3056164921;932.647;139.487;1725.807;127.2796;17.2904;237.2688;4254.0139;2496.0974;6011.9305;431.2351388;245.4787277;616.9915499
2018;113344;116115;0.02321;4004.1891;2961.6127;5046.7656;549.6843331;415.7329912;683.6356749;20032026434;14816259349;25247794009;2749942817;2079815422;3420070213;932.647;139.487;1725.807;127.2796;17.2904;237.2688;4095.2533;3028.9664;5161.5403;562.3728656;425.3294837;699.4162475
2019;90487;116115;0.02321;5733.1343;3674.8591;7791.4094;863.37027;564.7288145;1162.0117255;28681536834;18384465130;38978608537;4319240571;2825206857;5813274285;932.647;139.487;1725.807;127.2796;17.2904;237.2688;5803.5052;3719.9659;7887.0445;922.1559357;603.1804041;1241.1314673
2020;107921;116115;0.02321;2743.5844;456.4681;5030.7007;473.5246095;71.6426755;875.4065434;13725514344;2283603730;25167424958;2368933441;358411636;4379455246;932.647;139.487;1725.807;127.2796;17.2904;237.2688;2933.8822;488.1292;5379.6352;506.8132877;76.6791402;936.9474351
2021;106032;116115;0.02321;2964.4572;2230.669;3698.2452;568.0772954;426.3393681;709.8152226;14830489402;11159517937;18501460323;2841958528;2132876657;3551040398;932.647;139.487;1725.807;127.2796;17.2904;237.2688;2729.9479;2054.2075;3405.6882;530.0474524;397.7981478;662.2967569
2022;116115;116115;0.02321;2231.2339;1537.4913;2924.9765;428.7143593;301.7742437;555.6544751;11162343894;7691711131;14632976656;2144758186;1509706324;2779810048;932.647;139.487;1725.807;127.2796;17.2904;237.2688;2231.2339;1537.4913;2924.9765;428.7143593;301.7742437;555.654475
2023;95114;116115;0.02321;2334.5303;1770.3659;2898.6947;463.2442901;351.0847265;575.4038538;11679111850;8856728728;14501494972;2317503395;1756395196;2878611595;932.647;139.487;1725.807;127.2796;17.2904;237.2688;2457.2822;1863.4535;3051.1109;483.4847844;366.4246423;600.5449266
